id,type,backgroundcolor,extra_params,content,daily_start_time,daily_stop_time,trigger_type,promo_visibility,exclusiveness,payment_flow,start_date,stop_date,days_of_week,title,status,search_tags,promo_id,slug,short_description,where,landscape_app,landscape_web,landscape_bgcolor,categories_whitelist,calculated_status
00babe92-a404-431f-95c7-258bb9dc6c19,classic_free_content,,,"{'row': [{'text': 'Hiper ChangoMás', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '25% de reintegro ', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 02/11 al 31/03', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '15000', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Banco Galicia ', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/00babe92-a404-431f-95c7-258bb9dc6c19/primary_image.jpg?v=1730235677995', 'tertiary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/00babe92-a404-431f-95c7-258bb9dc6c19/tertiary_image.png?v=1730235678007', 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/00babe92-a404-431f-95c7-258bb9dc6c19/secondary_image.png?v=1730235677937', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'tag_extras': [{'type': 'time_range', 'label': '', 'value': False}, {'type': 'countdown', 'value': False}, {'type': 'online_store', 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,instore,2024-11-02T03:00:00.000Z,2025-04-01T02:59:59.999Z,V,25% en Hiper ChangoMás,active,"hiper,changomas,supermercado,viernes,presencial,galicia",bae085f5-0836-4f3e-92ee-8ffee141a412,25off-hiperchangomas-galicia-nov24,2411-Galicia-HiperChangoMas-Presencial-25off,Hiper ChangoMás,,,#FFFFFF,"{'categories': [{'map_category': 1, 'sub_categories': [43]}]}",RUNNING
0131cf34-6217-46e7-96e0-d3741d462ddb,classic_free_content,,,"{'row': [{'text': 'Get The Look Online', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '30% y 3 cuotas', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 01/09 al 02/03', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '10000', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Banco Galicia', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/0131cf34-6217-46e7-96e0-d3741d462ddb/primary_image.jpg?v=1724870336337', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/0131cf34-6217-46e7-96e0-d3741d462ddb/secondary_image.png?v=1724870336320', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'tertiary_backgroundcolor': None, 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'extra_row': None, 'tag_extras': [{'type': 'time_range', 'label': None, 'value': False}, {'type': 'countdown', 'label': None, 'value': False}, {'type': 'online_store', 'label': None, 'value': True}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,online,2024-09-01T03:00:00.000Z,2025-03-03T02:59:59.999Z,J,30%  en Get the Look,active,"galicia,get the look,reintegro,jueves,cuotas,farmacia,perfumeria",ef569a0c-f04d-448b-89e3-47243b482c75,30off-3csi-getthelook-galicia-sep24,2409-Galicia-GetTheLook-online-30off-3csi,Tienda Online Get The Look,,,#FFFFFF,"{'categories': [{'map_category': 4, 'sub_categories': [37, 16]}]}",RUNNING
015b0706-e2ab-42af-9f6d-32372f8097fa,classic_free_content,,,"{'row': [{'text': 'Educando', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '20% y 3 cuotas', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Desde el 16/01 al 27/02', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Exclusivo con', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '20000', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'BBVA', 'forecolor': None, 'extra_data': [{'name_bank': 'BBVA', 'image_bank': 'https://assets.mobile.playdigital.com.ar/images/banks/bbva.png'}], 'backgroundcolor': None}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/015b0706-e2ab-42af-9f6d-32372f8097fa/primary_image.jpg?v=1736968128764', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/015b0706-e2ab-42af-9f6d-32372f8097fa/secondary_image.png?v=1736968128766', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'tertiary_backgroundcolor': None, 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'extra_row': None, 'tag_extras': [{'type': 'time_range', 'label': None, 'value': False}, {'type': 'countdown', 'label': None, 'value': False}, {'type': 'online_store', 'label': None, 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,instore,2025-01-16T03:00:00.000Z,2025-02-28T02:59:59.999Z,J,20% y 3 CSI en Educando,active,"educando,jugueteria,jueves,bbva,presencial",941b64a1-f020-45da-995f-cb4e9dfeb057,20off-3csi-educando-jugueterias-bbva-ene25,2501-BBVA-Educando-Jugueterías-Presencial-20off-3csi,Educando,,,#FFFFFF,"{'categories': [{'map_category': 13, 'sub_categories': [15]}]}",RUNNING
01af5ba1-3f2e-4e2b-b5f6-6163b1ab42d8,classic_free_content,,,"{'row': [{'text': 'Hiper ChangoMás', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '30% de reintegro ', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 02/11 al 31/03', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '20000', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Banco Galicia ', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/01af5ba1-3f2e-4e2b-b5f6-6163b1ab42d8/primary_image.jpg?v=1730236316002', 'tertiary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/01af5ba1-3f2e-4e2b-b5f6-6163b1ab42d8/tertiary_image.png?v=1730236316041', 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/01af5ba1-3f2e-4e2b-b5f6-6163b1ab42d8/secondary_image.png?v=1730236315974', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'tag_extras': [{'type': 'time_range', 'label': '', 'value': False}, {'type': 'countdown', 'value': False}, {'type': 'online_store', 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,instore,2024-11-02T03:00:00.000Z,2025-04-01T02:59:59.999Z,V,30% en Hiper ChangoMás,active,"hiper,changomas,supermercado,galicia,presencial,viernes",8cd302ea-6b45-44dc-bdf8-c0c72723974c,30off-hiperchangomas-galicia-eminent-nov24,2411-Galicia-Eminent-HiperChangoMas-Presencial-30off,Hiper ChangoMás,,,#FFFFFF,"{'categories': [{'map_category': 1, 'sub_categories': [43]}]}",RUNNING
01fcbf2b-aec5-4257-8762-9e291d5f1465,classic_free_content,,,"{'row': [{'text': 'ChangoMás', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '20% de reintegro', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Desde el 11/02 al 28/02', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Exclusivo con', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '10000', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Comafi', 'forecolor': None, 'extra_data': [{'name_bank': 'Comafi', 'image_bank': 'https://assets.mobile.playdigital.com.ar/images/banks/comafi.png'}], 'backgroundcolor': None}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/01fcbf2b-aec5-4257-8762-9e291d5f1465/primary_image.jpg?v=1738853618038', 'tertiary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/01fcbf2b-aec5-4257-8762-9e291d5f1465/tertiary_image.png?v=1738853617973', 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/01fcbf2b-aec5-4257-8762-9e291d5f1465/secondary_image.png?v=1738853617996', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'tertiary_backgroundcolor': None, 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'extra_row': None, 'tag_extras': [{'type': 'time_range', 'label': None, 'value': False}, {'type': 'countdown', 'label': None, 'value': False}, {'type': 'online_store', 'label': None, 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,"instore,online",2025-02-11T03:00:00.000Z,2025-03-01T02:59:59.999Z,M,20% en ChangoMás,active,"20,reintegro,comafi,changomas,supermercados,febrero",a5c6f427-1f28-4ff0-8da8-494b2a045faf,20-comafi-changomas-feb25,2502-comafi-changomas-presencialonline-20off,ChangoMás,,,#FFFFFF,"{'categories': [{'map_category': 1, 'sub_categories': [43]}]}",RUNNING
021e681a-8a24-4599-b476-afe6b088b332,classic_free_content,,,"{'row': [{'text': 'Mimo & Co', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '10% y 6 cuotas', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Desde el 19/02 al 28/02', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Exclusivo con', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '0', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'BBVA', 'forecolor': None, 'extra_data': [{'name_bank': 'BBVA', 'image_bank': 'https://assets.mobile.playdigital.com.ar/images/banks/bbva.png'}], 'backgroundcolor': None}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/021e681a-8a24-4599-b476-afe6b088b332/primary_image.jpg?v=1739816818772', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/021e681a-8a24-4599-b476-afe6b088b332/secondary_image.png?v=1739816818758', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'tertiary_backgroundcolor': None, 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'extra_row': None, 'tag_extras': [{'type': 'time_range', 'label': None, 'value': False}, {'type': 'countdown', 'label': None, 'value': False}, {'type': 'online_store', 'label': None, 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,online,2025-02-19T03:00:00.000Z,2025-03-01T02:59:59.999Z,XV,10% adicional en Mimo,active,"mimo,online,indumentaria,miercoles,viernes,reintegro,cuotas",79a5efea-3852-4256-9fae-d564cb75d226,10off-6csi-mimo-adicional-bbva-febrero25,2501-BBVA-Mimo-online-10off-6csi,Mimo & Co,,,#FFFFFF,"{'categories': [{'map_category': 3, 'sub_categories': [35]}]}",RUNNING
025c310c-f45b-4461-b1d5-6430202ae577,classic_free_content,,,"{'row': [{'text': 'Elden', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '6 cuotas sin interés', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 20/12 al 28/02', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con*', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '0', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Comafi', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/025c310c-f45b-4461-b1d5-6430202ae577/primary_image.jpg?v=1738336782645', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/025c310c-f45b-4461-b1d5-6430202ae577/secondary_image.png?v=1738336782639', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'tag_extras': [{'type': 'time_range', 'label': '', 'value': False}, {'type': 'countdown', 'value': False}, {'type': 'online_store', 'value': False}]}",00:00:00-03,23:59:00-03,installments,MBW,all,instore,2024-12-20T03:00:00.000Z,2025-03-01T02:59:59.999Z,LMXJVSD,6 CSI en Elden,active,"6,csi,comafi,elden,diciembre",2f547939-ffc2-439a-8b31-9b4febe523fa,6-elden-comafi-dic24,2412-comafi-elden-presencial-6csi,Elden,,,#FFFFFF,"{'categories': [{'map_category': 10, 'sub_categories': [36]}]}",RUNNING
0388a253-a58a-4ee5-aa9c-5063f861b8e2,classic_free_content,,,"{'row': [{'text': 'Muu', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '30% de reintegro', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Desde el 01/01 al 28/02', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Exclusivo con', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': '50000', 'forecolor': None, 'extra_data': None, 'backgroundcolor': None}, {'text': 'Macro Selecta', 'forecolor': None, 'extra_data': [{'name_bank': 'Macro', 'image_bank': 'https://assets.mobile.playdigital.com.ar/images/banks/macro.png'}], 'backgroundcolor': None}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/0388a253-a58a-4ee5-aa9c-5063f861b8e2/primary_image.jpg?v=1735308795163', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/0388a253-a58a-4ee5-aa9c-5063f861b8e2/secondary_image.png?v=1734446733173', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'tertiary_backgroundcolor': None, 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'extra_row': None, 'tag_extras': [{'type': 'time_range', 'label': None, 'value': False}, {'type': 'countdown', 'label': None, 'value': False}, {'type': 'online_store', 'label': None, 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,instore,2025-01-01T03:00:00.000Z,2025-03-01T02:59:59.999Z,LMXJVSD,30% en Muu,active,"muu,gastronomia,macro selecta,reintegro,presencial",03b30c52-abee-4330-823d-953b8727fc43,30off-muu-macroselecta-ene25,2501-MacroSelecta-Muu-Presencial-30off,Muu,,,#FFFFFF,"{'categories': [{'map_category': 2, 'sub_categories': [30, 12, 46]}]}",RUNNING
03b8be6f-c3a7-4510-8dc4-ae472aaaede1,classic_free_content,,,"{'row': [{'text': 'Todos los pagos', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '10% de reintegro', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 10/02 al 30/06', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '10000', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Banco Entre Ríos', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03b8be6f-c3a7-4510-8dc4-ae472aaaede1/primary_image.jpg?v=1738868965348', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03b8be6f-c3a7-4510-8dc4-ae472aaaede1/secondary_image.png?v=1738868965345', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 4}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'tag_extras': [{'type': 'time_range', 'label': '', 'value': False}, {'type': 'countdown', 'value': False}, {'type': 'online_store', 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,instore,2025-02-10T03:00:00.000Z,2025-07-01T02:59:59.999Z,LMXJVSD,10% en todos los pagos,active,"10,reintegro,todoslospagos,bersa,entrerios,haberesprivados,febrero",ac6d2d64-49cb-40cf-ac30-121eee8d242b,10-bersa-haberesprivados-feb25,2502-bersa-haberesprivados-presencial-10off,Comercios que acepten MODO,,,#FFFFFF,"{'categories': [{'map_category': 0, 'sub_categories': []}]}",RUNNING
03d08870-8aa4-4e92-87e7-da4bba88e71d,classic_free_content,,,"{'row': [{'text': 'Konex', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '20% de reintegro', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 09/12 al 31/03', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '10000', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Galicia Más', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03d08870-8aa4-4e92-87e7-da4bba88e71d/primary_image.jpg?v=1733424908545', 'tertiary_image': None, 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03d08870-8aa4-4e92-87e7-da4bba88e71d/secondary_image.png?v=1733424908531', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'tag_extras': [{'type': 'time_range', 'label': '', 'value': False}, {'type': 'countdown', 'value': False}, {'type': 'online_store', 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW_and_engine,all,online,2024-12-09T03:00:00.000Z,2025-04-01T02:59:59.999Z,LMXJVSD,20% en Konex,active,"20,konex,galiciamas,entradas",aefc724f-18a2-4d45-b439-0607b256c981,20-konex-entradas-galiciamas-dic24,2412-galiciamas-konex-entradas-online-20off,Konex,,,#FFFFFF,"{'categories': [{'map_category': 14, 'sub_categories': [9]}]}",RUNNING
03f2f460-e308-431f-a427-01a450357e21,classic_free_content,,,"{'row': [{'text': ""Mc Donald's"", 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '35% de descuento', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 19/12 al 28/02', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '7000', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Bancos Adheridos', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03f2f460-e308-431f-a427-01a450357e21/primary_image.jpg?v=1738261755987', 'tertiary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03f2f460-e308-431f-a427-01a450357e21/tertiary_image.png?v=1738254957055', 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/03f2f460-e308-431f-a427-01a450357e21/secondary_image.png?v=1738254957048', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': -12}], 'primary_backgroundcolor': '#FFFFFF', 'tertiary_backgroundcolor': None, 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'extra_row': None, 'tag_extras': [{'type': 'time_range', 'label': None, 'value': False}, {'type': 'countdown', 'label': None, 'value': False}, {'type': 'online_store', 'label': None, 'value': False}]}",00:00:00-03,23:59:00-03,payment_promotion,MBW,all,"instore,instore_nfc",2024-12-19T03:00:00.000Z,2025-03-01T02:59:59.999Z,J,35% en Mc Donald's,active,"Mc Donald's,Jueves,Descuento,Presencial",c1160aa5-c83c-4066-a277-6248d01439da,mcdonalds-mastercard-enero25,2412-McDonald's-Mastercard-Presencial-35off,Mc Donald's,,,#FFFFFF,"{'categories': [{'map_category': 2, 'sub_categories': [46]}]}",RUNNING
043efa14-675e-4048-b1c9-4ec756346767,classic_free_content,,,"{'row': [{'text': 'Bicicletas Aráoz', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': '12 cuotas sin interés', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Desde el 13/01 al 30/06', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Exclusivo con', 'forecolor': '#414141', 'backgroundcolor': '#FFFFFF'}, {'text': '0', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}, {'text': 'Banco Macro', 'forecolor': '#121212', 'backgroundcolor': '#FFFFFF'}], 'image': {'primary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/043efa14-675e-4048-b1c9-4ec756346767/primary_image.jpg?v=1736349092330', 'tertiary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/043efa14-675e-4048-b1c9-4ec756346767/tertiary_image.png?v=1736349092331', 'secondary_image': 'https://assets.mobile.playdigital.com.ar/promotions_dynamics/043efa14-675e-4048-b1c9-4ec756346767/secondary_image.png?v=1736349092301', 'primary_position': [{'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}, {'x': 0, 'y': 0}], 'primary_backgroundcolor': '#FFFFFF', 'secondary_backgroundcolor': '#FFFFFF', 'optional_images_pack': {'landscape_app': None, 'landscape_web': None, 'landscape_bgcolor': '#FFFFFF'}}, 'tag_extras': [{'type': 'time_range', 'label': '', 'value': False}, {'type': 'countdown', 'value': False}, {'type': 'online_store', 'value': False}]}",00:00:00-03,23:59:00-03,installments,MBW_and_engine,all,instore,2025-01-13T03:00:00.000Z,2025-07-01T02:59:59.999Z,LMXJVSD,12 CSI en Araoz,active,"araoz,bicicletería,presencial,macro,todos los dias",11043a6c-a712-4e49-8c50-56bd6075172b,12csi-araoz-macro-ene25,2501-Macro-Araoz-Presencial-12csi,Bicicletas Aráoz,,,#FFFFFF,"{'categories': [{'map_category': 15, 'sub_categories': [11]}]}",RUNNING
